,Open,High,Low,Close,Adj Close,Volume
2016-01-26,102.65,103.59,101.76,103.15,96.1397528726995,36143916.0
2016-01-27,102.55,102.99,100.15,100.58,93.744414386196,54524736.0
2016-01-28,102.19,102.29,100.26,102.0,95.0679088028633,47641532.0
2016-01-29,102.0,104.17,101.94,104.13,97.0531504278642,54245067.0
2016-02-01,103.62,104.8,103.23,104.41,97.3141211579113,32750348.0
2016-02-02,103.97,103.97,101.84,102.15,95.2077145511028,44928088.0
2016-02-03,102.8,102.83,99.88,101.66,94.7510157735204,61572882.0
2016-02-04,101.35,102.455,100.44,101.65,94.7416953903044,49321638.0
2016-02-05,101.29,101.33,97.72,98.12,91.4516001150681,70749932.0
2016-02-08,96.33,97.05,94.84,96.62,90.053542632673,91673063.0
2016-02-09,95.36,97.78,95.18,96.32,89.773931136194,73778426.0
2016-02-10,97.5,98.69,96.62,96.69,90.1187853151848,59421699.0
2016-02-11,95.45,97.32,95.19,96.55,89.9882999501613,76839183.0
2016-02-12,97.68,98.12,96.73,98.02,91.3583962829084,49186494.0
2016-02-16,99.44,100.23,98.85,100.23,93.4182009736371,40565911.0
2016-02-17,101.01,102.64,100.7,102.5,95.5339279636616,41766451.0
2016-02-18,102.81,102.84,101.2,101.33,94.4434431273935,38991469.0
2016-02-19,100.91,101.94,100.615,101.63,94.7230546238725,28257915.0
2016-02-22,102.54,103.38,102.48,103.28,96.260917854507,23979113.0
2016-02-23,102.67,102.96,101.51,101.58,94.6764527077927,29869660.0
2016-02-24,100.44,102.68,99.77,102.55,95.5805298797414,40739103.0
2016-02-25,102.76,103.56,101.84,103.56,96.5218885845541,29389315.0
2016-02-26,104.28,104.3659,103.1835,103.43,96.4007236027466,30925045.0
2016-02-29,103.31,104.1,102.5,102.5,95.5339279636616,27553937.0
2016-03-01,103.45,105.79,103.16,105.79,98.6003340417148,37699779.0
2016-03-02,105.63,105.85,105.01,105.83,98.6376155745786,29209756.0
2016-03-03,105.71,105.75,104.87,105.63,98.4512079102593,25474625.0
2016-03-04,105.76,106.35,104.97,105.67,98.4884894431232,31655424.0
2016-03-07,105.12,105.74,104.27,105.02,97.8826645340853,25861160.0
2016-03-08,104.3,105.2138,103.97,104.15,97.0717911942962,28372596.0
2016-03-09,104.57,104.84,103.96,104.82,97.696256869766,31047351.0
2016-03-10,105.31,105.86,103.31,104.66,97.5471307383105,44997649.0
2016-03-11,105.8,106.49,105.46,106.49,99.2527608668324,31453958.0
2016-03-14,106.08,106.92,106.06,106.67,99.4205277647198,25374912.0
2016-03-15,106.27,106.75,105.95,106.63,99.383246231856,26524632.0
2016-03-16,106.37,107.86,106.34,107.58,100.268682637373,31693050.0
2016-03-17,107.26,107.77,106.87,107.52,100.212760338077,29623740.0
2016-03-18,107.46,107.635,106.8,107.37,100.369156368441,37682293.0
2016-03-21,107.16,107.89,107.12,107.79,100.761771118136,17288559.0
2016-03-22,107.18,108.37,107.16,108.12,101.070254135753,18840278.0
2016-03-23,107.91,107.99,106.99,107.23,100.238284785209,20912873.0
2016-03-24,106.67,107.29,106.53,107.26,100.266328695902,19017258.0
2016-03-28,107.56,107.58,106.92,107.11,100.126109142439,13892303.0
2016-03-29,106.93,108.9,106.73,108.83,101.733960022142,29963923.0
2016-03-30,109.48,110.04,109.13,109.36,102.229402444377,23807235.0
2016-03-31,109.3,109.69,109.03,109.2,102.079834920683,21447236.0
2016-04-01,108.58,110.4,108.39,110.36,103.16419946746,26389045.0
2016-04-04,110.31,110.435,109.68,109.94,102.771584717765,17162988.0
2016-04-05,109.08,109.5,108.74,108.88,101.780699873297,20107915.0
2016-04-06,109.0,110.71,108.99,110.67,103.453986544615,25056031.0
2016-04-07,110.04,110.225,108.61,109.08,101.967659277913,28567202.0
2016-04-08,109.77,110.02,108.615,109.0,101.892875516067,22897951.0
2016-04-11,109.48,110.02,108.585,108.6,101.518956706833,25772058.0
2016-04-12,108.66,109.72,108.015,109.51,102.369621997839,28564087.0
2016-04-13,110.32,111.08,110.21,110.91,103.678337830155,25356728.0
2016-04-14,110.0,111.33,110.0,110.92,103.687685800386,17199671.0
2016-04-15,110.83,111.055,110.36,110.64,103.425942633923,21353343.0
2016-04-18,110.33,111.265,110.25,111.23,103.977472877542,17126086.0
2016-04-19,111.44,111.44,109.88,110.55,103.341810901845,42481435.0
2016-04-20,110.54,111.15,110.17,110.64,103.425942633923,18078307.0
2016-04-21,110.58,111.05,110.15,110.65,103.435290604154,20215983.0
2016-04-22,109.21,109.72,108.12,108.98,101.874179575605,39073996.0
2016-04-25,108.62,108.99,108.45,108.98,101.874179575605,14351890.0
2016-04-26,109.2,109.39,108.12,108.45,101.378737153371,19118334.0
2016-04-27,107.34,107.83,106.69,107.58,100.565463743288,33059790.0
2016-04-28,107.69,108.3335,106.0705,106.28,99.3502276132803,29818155.0
2016-04-29,106.22,106.495,104.88,105.72,98.8267412803537,67502786.0
2016-05-02,105.97,106.87,105.5525,106.72,99.7615383034369,24813813.0
2016-05-03,105.96,106.4399,105.45,105.73,98.8360892505846,38569433.0
2016-05-04,105.12,105.4811,104.7902,105.05,98.200427274888,27474504.0
2016-05-05,105.43,105.66,104.81,105.02,98.1723833641955,20788119.0
2016-05-06,104.51,105.6,104.4,105.58,98.6958696971221,30758516.0
2016-05-09,105.61,106.37,105.54,105.88,98.976308804047,19289615.0
2016-05-10,106.26,107.38,106.07,107.33,100.331764487518,21178851.0
2016-05-11,107.16,107.49,106.33,106.36,99.425011375127,20966257.0
2016-05-12,106.68,106.735,105.14,105.89,98.9856567742779,29196323.0
2016-05-13,105.85,106.449,105.29,105.5,98.6210859352754,21059255.0
2016-05-16,105.67,107.21,105.56,106.82,99.8550180057452,18311860.0
2016-05-17,106.74,107.04,105.2,105.48,98.6023899948138,29932711.0
2016-05-18,105.29,106.43,105.04,105.86,98.9576128635854,28177911.0
2016-05-19,105.45,105.705,104.54,105.31,98.4434745008896,27334610.0
2016-05-20,105.74,106.9,105.67,106.47,99.5278390476661,29549578.0
2016-05-23,106.55,106.97,106.23,106.33,99.3969674644345,15729764.0
2016-05-24,106.92,108.59,106.885,108.46,101.388085123602,29931309.0
2016-05-25,108.86,109.57,108.684,109.24,102.117226801607,38464750.0
2016-05-26,109.35,109.7,109.09,109.56,102.416361848993,21885871.0
2016-05-27,109.65,110.14,109.61,110.13,102.949196152151,19870010.0
2016-05-31,110.28,110.51,109.7837,110.34,103.145503526998,24366106.0
2016-06-01,110.0,110.6,109.91,110.35,103.154851497229,19571528.0
2016-06-02,110.13,110.59,109.53,110.58,103.369854812538,15696618.0
2016-06-03,110.37,110.42,109.34,110.06,102.883760360535,20269923.0
2016-06-06,110.25,110.75,110.07,110.46,103.257679169768,12502365.0
2016-06-07,110.53,110.63,110.13,110.18,102.995936003305,12184296.0
2016-06-08,110.37,110.6,109.96,110.37,103.173547437691,14568699.0
2016-06-09,109.93,110.31,109.71,110.19,103.005283973536,17571631.0
2016-06-10,109.2,109.4,108.56,108.94,101.836787694682,32965003.0
2016-06-13,108.34,108.93,107.89,108.03,100.986122403676,25412177.0
2016-06-14,107.78,108.415,107.24,108.03,100.986122403676,24588506.0
2016-06-15,108.32,108.44,107.54,107.72,100.69633532652,24605701.0
2016-06-16,107.17,108.14,106.5,108.04,100.995470373907,32079929.0
2016-06-17,107.53,107.6819,106.24,106.49,99.8144945547946,29208832.0
2016-06-20,107.73,108.24,107.08,107.16,100.442494473582,20562769.0
2016-06-21,107.33,107.715,107.1,107.5,100.761180999534,22804112.0
2016-06-22,107.58,108.19,107.15,107.24,100.517479538512,22724174.0
2016-06-23,108.09,108.79,107.62,108.77,101.951568905296,18714227.0
2016-06-24,104.81,106.5,104.06,104.29,97.7524052692227,68012733.0
2016-06-27,103.6,103.6,101.75,102.22,95.8121667141619,50044303.0
2016-06-28,103.33,104.51,103.3,104.46,97.9117485321987,28260604.0
2016-06-29,105.26,106.53,105.231,106.31,99.6457781587023,31356723.0
2016-06-30,106.52,107.61,106.13,107.54,100.798673531999,36300819.0
2016-07-01,107.49,108.48,107.45,108.08,101.304822720276,19902803.0
2016-07-05,107.58,107.66,106.84,107.42,100.686195934604,21167903.0
2016-07-06,106.92,108.35,106.57,108.3,101.511031648833,24579270.0
2016-07-07,108.39,108.86,108.11,108.62,101.810971908553,19161748.0
2016-07-08,109.17,110.36,109.02,110.3,103.38565827208,29457871.0
2016-07-11,110.68,111.335,110.66,110.93,103.976165658403,20218504.0
2016-07-12,111.59,111.79,111.34,111.49,104.501061112912,21906145.0
2016-07-13,111.79,111.82,111.21,111.22,104.247986518774,21107762.0
2016-07-14,111.96,112.19,111.7,111.98,104.960344635608,20870986.0
2016-07-15,112.22,112.3,111.55,111.8,104.791628239516,17999312.0
2016-07-18,111.86,112.74,111.85,112.54,105.485240090117,20713924.0
2016-07-19,112.17,112.48,111.93,112.13,105.100941632352,18936702.0
2016-07-20,112.75,113.65,112.6,113.44,106.328822070578,24997929.0
2016-07-21,113.52,113.74,112.87,113.18,106.085120609556,18885367.0
2016-07-22,113.28,113.78,112.911,113.65,106.525657866019,20003363.0
2016-07-25,113.56,113.69,113.28,113.66,106.535030999136,12968085.0
2016-07-26,113.63,114.2,113.22,113.79,106.656881729647,21223845.0
2016-07-27,114.76,114.88,114.1,114.58,107.397359245829,27646113.0
2016-07-28,114.76,115.11,114.4,114.98,107.772284570479,16939662.0
2016-07-29,115.24,115.54,114.87,115.23,108.006612898385,22385320.0
2016-08-01,115.31,118.7799,115.17,115.84,108.578374018475,13990077.0
2016-08-02,115.68,115.77,114.22,114.96,107.753538304246,21278383.0
2016-08-03,114.88,115.35,114.8005,115.34,108.109717362663,15011273.0
2016-08-04,115.32,115.78,115.03,115.67,108.419030755499,12835296.0
2016-08-05,116.28,117.04,116.13,116.78,109.459448531401,23196570.0
2016-08-08,116.82,116.87,116.28,116.65,109.33759780089,12358181.0
2016-08-09,116.73,117.29,116.67,116.92,109.590672395028,13276458.0
2016-08-10,116.96,117.02,116.31,116.62,109.309478401541,14688405.0
2016-08-11,117.01,117.37,116.78,117.12,109.778135057353,12969799.0
2016-08-12,116.91,117.21,116.79,117.2,109.853120122283,19379036.0
2016-08-15,117.33,117.97,117.31,117.7,110.321776778095,11777762.0
2016-08-16,117.47,117.49,117.03,117.05,109.71252312554,14161446.0
2016-08-17,117.08,117.3,116.43,117.26,109.90935892098,15980334.0
2016-08-18,117.15,117.46,116.945,117.29,109.937478320329,10036285.0
